number,lecture,technology_layer,portfolio_keyword
1,양자컴퓨터와 반도체 기술,quantum_hardware,quantum_device_interface
2,반도체 소재의 이해와 트랜지스터 제작 기초,materials_process,device_fabrication
3,HBM에서 양자컴퓨팅까지,memory_architecture,HBM_parallel_computing
4,미래자동차 시대의 기업가 정신,industry_business,technology_to_market
5,실리콘 나노입자,nanomaterials,silicon_nanotechnology
6,트랜지스터 동작원리,device_physics,transistor_fundamentals
7,"인공지능, 반도체를 만나다",AI_semiconductor,accelerator_architecture
8,반도체 임팩트,industry,semiconductor_ecosystem
9,CMOS 논리회로 입문,circuit,CMOS_logic
10,양자역학 비교적 쉽게 이해하기,quantum_physics,quantum_fundamentals
